Trial,AP CV moyenne,Dispersion AP,AP train,Écart train-CV,Durée CV (s),n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features_choice
12,0.565660138818337,0.05426423522016123,0.7368857517263202,0.17122561290798322,78.28790609998396,450,6,30,2,35%
14,0.5651848017187453,0.05352076822670721,0.7806055342123083,0.21542073249356297,90.3138132999884,400,7,29,2,35%
15,0.5636405290612563,0.05235760685606266,0.8486290378168326,0.28498850875557635,58.60550279999734,300,9,23,3,25%
13,0.5630811077027964,0.05150419669702422,0.7891791897616552,0.22609808205885884,89.24535259997356,450,7,18,2,35%
7,0.5627513789805225,0.05367016712719721,0.696434512642312,0.13368313366178952,76.02890569998999,500,5,9,2,35%
10,0.5626896024459684,0.057698383102366795,0.6914827387290475,0.1287931362830791,24.0770830999827,200,5,2,2,25%
11,0.5619436999716942,0.05821619617319974,0.691916098792943,0.12997239882124878,39.90128849999746,350,5,2,2,25%
4,0.5617260371921978,0.05388219300708076,0.6950809120314577,0.1333548748392599,29.73936400000821,200,5,12,5,35%
19,0.5599078022198111,0.05671396386510464,0.6586118680527576,0.09870406583294655,30.251752799988026,250,4,26,2,35%
1,0.5595341286604625,0.052952585250366,0.6592892479076918,0.09975511924722935,64.69691129997955,400,4,28,13,50%
6,0.5594502732463729,0.05475221507899998,0.7473015462379368,0.1878512729915639,13.204200600011973,100,7,2,20,15%
2,0.5589133754416002,0.0498444169552179,0.8394980567122361,0.28058468127063585,64.16813529998763,250,8,9,2,35%
17,0.5587975348935985,0.0521930409812365,0.9555276326756186,0.39673009778202006,134.65031409999938,450,13,24,2,35%
9,0.5579233849838867,0.055360122935062615,0.8716853346241242,0.3137619496402375,43.967567200015765,350,10,7,6,15%
16,0.5577295798336961,0.04975918278650929,0.8298041004101382,0.2720745205764421,138.15524649998406,450,8,30,3,50%
8,0.5576827877680502,0.050734560975726484,0.8404517943945852,0.2827690066265349,89.94273849998717,400,8,6,17,35%
0,0.5565208426892075,0.053445776011846365,0.9967600544750277,0.44023921178582015,90.99791710000136,250,20,14,7,35%
5,0.5538790949942426,0.053947436556160425,0.9935743228546676,0.43969522786042503,196.87578479998047,500,17,14,3,35%
18,0.5538589788432732,0.04871195657588864,0.933925047468619,0.38006606862534587,113.93915099999867,400,11,11,4,35%
3,0.5419355836636462,0.05016666040866404,0.9910508172590875,0.44911523359544125,107.2003035999951,300,14,2,7,35%
